city,city_ascii,lat,lng,country
Rio Claro,Rio Claro,10.3042,-61.1708,Trinidad and Tobago
Carmen de Apicalá,Carmen de Apicala,4.1500,-74.7333,Colombia
Sucre,Sucre,2.0383,-76.9253,Colombia
Palangavāngudi,Palangavangudi,10.7244,78.8108,India
Halikko,Halikko,60.3972,23.0778,Finland
Majhariyā Sheikh,Majhariya Sheikh,26.7356,84.6420,India
Edgemere,Edgemere,39.2273,-76.4590,United States
Liteni,Liteni,47.5200,26.5319,Romania
Oberriet,Oberriet,47.3167,9.5667,Switzerland
Kurichchi,Kurichchi,11.7276,78.4102,India
Polakala,Polakala,13.3458,78.8167,India
Pomona,Pomona,39.4688,-74.5502,United States
Makaya,Makaya,25.2710,87.8897,India
Gurmaila,Gurmaila,25.4829,87.3490,India
Teruel,Teruel,2.7500,-75.5667,Colombia
Hallstadt,Hallstadt,49.9333,10.8833,Germany
Silleda,Silleda,42.7000,-8.2333,Spain
Alwa Tirunagari,Alwa Tirunagari,8.6100,77.9400,India
Kulpsville,Kulpsville,40.2440,-75.3407,United States
Zuchwil,Zuchwil,47.2000,7.5667,Switzerland
Khem Karan Saray,Khem Karan Saray,25.1233,84.8117,India
Bālumāth,Balumath,23.8298,84.7888,India
